,Cur. service,Title,Genre,Premiere,Seasons,Status,Language,Runtime,Prev. network(s),Episodes
237,Netflix,Taco Chronicles,Culinary art,2019-07-12 00:00:00,3,Pending,Spanish,<30 min,,21
238,Netflix,Rise of Empires: Ottoman,Docudrama,2020-01-24 00:00:00,1,Continuing,English,<60 min,,6
239,Netflix,History 101,Docuseries,2020-05-22 00:00:00,2,Pending,English,<30 min,,20
240,Netflix,Down to Earth with Zac Efron,Docuseries,2020-07-10 00:00:00,2,Pending,English,<60 min,,16
241,Netflix,Last Chance U: Basketball,Docuseries,2021-03-10 00:00:00,1,Continuing,English,<60 min,,8
242,Netflix,High on the Hog: How African American Cuisine Transformed America,Docuseries,2021-05-26 00:00:00,1,Continuing,English,<60 min,,4
243,Netflix,Senzo: Murder of a Soccer Star,True crime,2022-04-07 00:00:00,1,Pending,English,<60 min,,5
244,Netflix,Wild Babies,Nature docuseries,2022-05-05 00:00:00,1,Pending,English,<60 min,,8
245,Netflix,Mr. Good: Cop or Crook?,True crime,2022-06-03 00:00:00,1,Pending,Norwegian,<60 min,,4
246,Netflix,"Web of Make Believe: Death, Lies and the Internet",Docuseries,2022-06-15 00:00:00,1,Pending,English,<60 min,,6
247,Netflix,The Future Of,Docuseries,2022-06-21 00:00:00,1,Pending,English,<30 min,,12
248,Netflix,The Hidden Lives of Pets,Docuseries,2022-06-22 00:00:00,1,Pending,English,<60 min,,4
249,Netflix,Street Food: USA,Docuseries,2022-07-26 00:00:00,1,Pending,English,<60 min,,6
250,Netflix,Trainwreck: Woodstock '99,Docuseries,2022-08-03 00:00:00,1,Pending,English,<60 min,,3
251,Netflix,A Kidnapping Scandal: The Florence Cassez Affair,True crime,2022-08-25 00:00:00,1,Pending,Spanish,<60 min,,5
252,Netflix,Club América vs Club América,Sport,2022-08-31 00:00:00,1,Pending,Spanish,<60 min,,6
253,Netflix,Chef's Table: Pizza,Culinary art,2022-09-07 00:00:00,1,Pending,English,<60 min,,6
254,Netflix,Indian Predator: The Diary of a Serial Killer,True crime,2022-09-07 00:00:00,1,Pending,Hindi,<60 min,,3
255,Netflix,Terim,Docuseries,2022-09-15 00:00:00,1,Pending,Turkish,<60 min,,4
256,Netflix,Fortune Seller: A TV Scam,True crime,2022-09-21 00:00:00,1,Pending,Italian,<60 min,,4
257,Netflix,Human Playground,Docuseries,2022-09-30 00:00:00,1,Pending,English,<60 min,,6
258,Netflix,Aftershock: Everest and the Nepal Earthquake,Docuseries,2022-10-06 00:00:00,1,Pending,English,<60 min,,3
259,Netflix,Island of the Sea Wolves,Nature documentary,2022-10-12 00:00:00,1,Pending,English,<60 min,,3
260,Netflix,Sue Perkins: Perfectly Legal,Docuseries,2022-10-13 00:00:00,1,Pending,English,<60 min,,3
261,Netflix,Take 1,Docuseries,2022-10-14 00:00:00,1,Pending,Korean,<60 min,,7
262,Netflix,Earthstorm,Docuseries,2022-10-27 00:00:00,1,Pending,English,<60 min,,4
263,Netflix,My Encounter with Evil,True crime,2022-10-28 00:00:00,1,Pending,Spanish,<60 min,,4
264,Netflix,Ancient Apocalypse,Docuseries,2022-11-11 00:00:00,1,Pending,English,<60 min,,8
265,Netflix,Our Universe,Nature documentary,2022-11-22 00:00:00,1,Pending,English,<60 min,,6
